Title,Price,Rating,Availability,Category
Sharp Objects,47.82,Four,In stock,Mystery
"In a Dark, Dark Wood",19.63,One,In stock,Mystery
The Past Never Ends,56.5,Four,In stock,Mystery
A Murder in Time,16.64,One,In stock,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock,Mystery
The Last Mile (Amos Decker #2),54.21,Two,In stock,Mystery
That Darkness (Gardiner and Renner #1),13.92,One,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,One,In stock,Mystery
A Time of Torment (Charlie Parker #14),48.35,Five,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock,Mystery
Poisonous (Max Revere Novels #3),26.8,Three,In stock,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock,Mystery
Most Wanted,35.28,Three,In stock,Mystery
Hide Away (Eve Duncan #20),11.84,One,In stock,Mystery
Boar Island (Anna Pigeon #19),59.48,Three,In stock,Mystery
The Widow,27.26,Two,In stock,Mystery
Playing with Fire,13.71,Three,In stock,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,In stock,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,In stock,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,In stock,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,In stock,Mystery
In the Woods (Dublin Murder Squad #1),38.38,Two,In stock,Mystery
The Silkworm (Cormoran Strike #2),23.05,Five,In stock,Mystery
The Exiled,43.45,Three,In stock,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,In stock,Mystery
Extreme Prey (Lucas Davenport #26),25.4,Three,In stock,Mystery
Career of Evil (Cormoran Strike #3),24.72,Two,In stock,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,In stock,Mystery
The Girl You Lost,12.29,Five,In stock,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,In stock,Mystery
Blood Defense (Samantha Brinkman #1),20.3,Three,In stock,Mystery
1st to Die (Women's Murder Club #1),53.98,One,In stock,Mystery
Tipping the Velvet,53.74,One,In stock,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock,Historical Fiction
The House by the Lake,36.95,One,In stock,Historical Fiction
Mrs. Houdini,30.25,Five,In stock,Historical Fiction
The Marriage of Opposites,28.08,Four,In stock,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,Three,In stock,Historical Fiction
"Love, Lies and Spies",20.55,Two,In stock,Historical Fiction
A Paris Apartment,39.01,Four,In stock,Historical Fiction
Lilac Girls,17.28,Two,In stock,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,Three,In stock,Historical Fiction
The Invention of Wings,37.34,One,In stock,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,Four,In stock,Historical Fiction
The Passion of Dolssa,28.32,Five,In stock,Historical Fiction
